Title,Code,Term,Description,Learning Outcomes,Module Content,Prerequisites,Lecturer
Mathematics 1,BIOE40004,"Autumn,Spring",This module aims to:provide the class with a common depth and breadth of mathematical understanding irrespective of pre-university mathematics qualificationintroduce you to mathematics as a logical and structured disciplineenable you to understand how to select the most appropriate mathematical technique for problem solvingprovide a platform of mathematical knowledge required for other courses in the Biomedical Engineering degree programmeencourage independent learning of engineering mathematics,"Upon successful completion of this module you will be able to:&nbsp;Use calculus techniques to solve complex mathematical equations including 1st and 2nd order differential equations.Identify and describe the properties of functions, including hyperbolic functions and sketch curves of given functions.Apply vector and matrix algebra to solve problems in multiple dimensions.Apply all forms of complex numbers to solve equations and represent solutions on an Argand diagram.&nbsp;Express functions in terms of mathematical series and use these expressions to solve posed problems.Explain why Fourier transforms are used and apply Fourier transforms to described functions.Apply the previously described mathematical methods, tools and notations in the analysis and solution of mathematical problems described in a biomedical context."," This module will cover the following topics:LimitsDifferentiationIntegrationFunctions and Curve sketchingVector algebraMatrix algebraComplex numbersHyperbolic functions1st &amp; 2nd order differential equationsSeries: Maclaurin, Taylor, FourierFourier Transforms ",A-level maths or equivalent,"Hayriye Cagnan, Pedro Ballester, Richard Kitney"
Mathematics 2,BIOE50006,"Autumn,Spring",The aims of this module are to:Ensure that all students acquire the mathematical knowledge and skills required for the second and later years of their Biomedical Engineering course.This module will build on the content of Mathematics 1 and extend the subjects introduced there.,"Upon successful completion of this module, you will be able to:&nbsp;Differentiate functions of two or more variables, evaluate simple line, double and volume integrals and carry out changes of variable in multiple integrals.&nbsp;Define and calculate the vector operators grad, div and curl, and state Green's, Gauss' and Stokes' theorems involving those operators.&nbsp;Derive and classify partial differential equations, recognizing the importance of boundary conditions. Apply standard methods to solve partial differential equations and verify solutions.&nbsp;Interpret matrices as performing linear transformations and analyse the properties of these transformations.&nbsp;Explain the significance of eigenvectors and eigenvalues of matrices, and perform eigendecomposition and diagonalisation.&nbsp;Describe and apply simple methods for numerical integration.&nbsp;Apply the previously described mathematical methods, tools and notation in the analysis and solution of mathematical problems described in a biomedical context."," In this module you will cover the following topics:VECTOR CALCULUS: parameterised curves; scalar and vector fields; grad, div and curl; arc length; line integrals; conservative fields; double and triple integrals; Green`s theorem in the plane; surface integration; Gauss` and Stokes` theorems.PARTIAL DIFFERENTIATION: Differentiation as linearisation. Functions of more than one variable: partial differentiation, Jacobian; total differentials, chain rule, changes of a variable. Taylor`s theorem for a function of two variables; stationary values; contours.PARTIAL DIFFERENTIAL EQUATIONS (PDEs): Derivation from microscopic considerations. Classification of PDEs and boundary conditions. Examples such as the wave equation, the diffusion equation, and Laplace's equation. Verification of solutions by substitution, solution of linear equations via separation of variables and similarity solutions, the principle of superposition. The importance of orthogonality in the solution of linear PDEs.MATRIX ALGEBRA: basic transformation, cofactor expansion, rank, eigenvalues and eigenvectors, diagonalisationNUMERICAL METHODS: Newton's method, Euler and Runge-Kutta methods. ",Mathematics 1 - Prerequisite,"Thomas Ouldridge, Chiu Fan Lee"
Mathematics and Engineering 1,BIOE40005,"Autumn,Spring","The aims of this module are to:Provide a common depth and breadth of mathematical understanding irrespective of pre-university mathematics qualification.Enable you to understand how to select the most appropriate mathematical technique for problem solving.Introduce the basic principles of physics, electrical and mechanical engineering as required for other courses in the Molecular bioengineering programme.Provide you with practice in solving mathematical, electrical and mechanical problems posed in a Bioengineering context.To encourage you to become an independent learner&nbsp;","Upon successful completion of this module you will be able to:&nbsp;Use calculus techniques to solve complex mathematical equations including 1st and 2nd order differential equations.Identify and describe the properties of functions, including hyperbolic functions and sketch curves of given functions.Apply vector and matrix algebra to solve problems in multiple dimensions.Apply all forms of complex numbers to solve equations and represent solutions on an Argand diagram.Express functions in terms of mathematical series and use these expressions to solve posed problems.Explain why Fourier transforms are used and apply Fourier transforms to described functions.Describe commonly employed electronic circuits and how they work and undertake circuit design at an elementary level.Be able to describe Newton's laws and express them in vector form to solve both simple static and dynamic mechanics problems"," This module will cover the following topics:Maths:LimitsDifferentiationIntegrationFunctions and Curve sketchingVector algebraMatrix algebraComplex numbersHyperbolic functions1st &amp; 2nd order differential equationsSeries: Maclaurin, Taylor, FourierFourier TransformsElectrical EngineeringIntroduction to Analog Systems:Ohm's Law, KCL, KVL, Equivalent Circuits, Energy Storage Devices, Filters, Operational Amplifiers, Semiconductor Devices, Circuit Simulation using LTSpiceMechanicsLaws of motion (linear and angular) \/ rigid body mechanics \/ &nbsp;statics (forces and moments)Simple harmonic motion and forced oscillations &nbsp; ",N/A,"Hayriye Cagnan, Pedro Ballester, Firat Guder, Richard Kitney, Nicolas Newell"
Mathematics and Engineering 2,BIOE50005,"Autumn,Spring","The aims of this module are to:Ensure that all students acquire the mathematical knowledge and skills required for the second and later years of their Molecular Engineering programme.&nbsp;Introduce the principles of signals and control as required for further courses in the Molecular Bioengineering degree.Provide practice in solving mathematical, signals and control problems posed in a Bioengineering context.","Upon successful completion of this module, you will be able to:&nbsp;1) Differentiate functions of two or more variables, evaluate simple line, double and volume integrals and carry out changes of variable in multiple integrals.&nbsp;2) Define and calculate the vector operators grad, div and curl, and state Green's, Gauss' and Stokes' theorems involving those operators.&nbsp;3) Derive and classify partial differential equations, recognizing the importance of boundary conditions and apply standard methods to solve and verify the solutions of such equations&nbsp;4) Explain and use concepts related to matrices including: linear transformations performed by a matrix, the significance of eigenvectors and eigenvalues of matrices, eigendecomposition and diagonalisation&nbsp;5) Describe and apply simple methods for numerical integration.&nbsp;6) Explain applications of signal processing and control systems in biomedical engineering - this includes in imaging techniques, and describing physiological signals.&nbsp;7) Model or represent a signal and\/or control system using either mathematical expressions or simulations in Matlab, or an equivalent programming language.&nbsp;8) Analyse signals quantitatively and with the use of computational methods."," In this module you will cover the following topics:VECTOR CALCULUS: parameterised curves; scalar and vector fields; grad, div and curl; arc length; line integrals; conservative fields; double and triple integrals; Green`s theorem in the plane; surface integration; Gauss` and Stokes` theorems.PARTIAL DIFFERENTIATION: Differentiation as linearisation. Functions of more than one variable: partial differentiation, Jacobian; total differentials, chain rule, changes of a variable. Taylor`s theorem for a function of two variables; stationary values; contours.PARTIAL DIFFERENTIAL EQUATIONS (PDEs): Derivation from microscopic considerations. Classification of PDEs and boundary conditions. Examples such as the wave equation, the diffusion equation, and Laplace's equation. Verification of solutions by substitution, solution of linear equations via separation of variables and similarity solutions, the principle of superposition. The importance of eigenfunctions and orthogonality in the solution of linear PDEs.MATRIX ALGEBRA: basic transformation, cofactor expansion, rank, eigenvalues and eigenvectors, diagonalisationNUMERICAL METHODS: Newton's method, Euler and Runge-Kutta methods.SIGNALS AND CONTROL: Definition of Signals &amp; Systems with examples in bioengineering. Fourier Representations and the use of Fourier analysis in bioengineering. Sampling and digital signals Control including PID control and Frequency domain analysis ",N/A,"Dario Farina, Chiu Fan Lee, Thomas Ouldridge"
Mechanics and Electronics 1,BIOE40006,"Autumn,Spring",The aims of this module are:To introduce students to the principles of mechanics and electronicsTo demonstrate the mathematical connections between these topicsTo build students' practical experience in electronics and mechanics labsTo show how these concepts can be used to study bioengineering problems,"Upon successful completion of this module, you will be able to:Explain and be able to apply the fundamental relationships describing the DC and AC properties of components and a wide variety of circuits within which they are connectedUndertake circuit design at an elementary level.Solve basic rigid body mechanics problems using equilibrium analyses of forces and moments, virtual work, translational and rotational equations of motion, and conservation of mechanical energy and momentum.Apply the appropriate laws of physics and use 1st and 2nd order differential equations to be able to describe mechanical and electrical vibrations and wave travel.Work in laboratories in a safe and effective manner and use typical electronic equipment such as oscilloscopes, breadboards etc. &nbsp; &nbsp;"," This module will cover the following topicsMechanics:Equilibrium problems (force and moment equilibrium, virtual work)Translational and rotational kinematics and dynamics (Cartesian and polar coordinates, simple differential equations, rigid body constraints, mass moment of inertia and centre-of-mass, relative motion)Momentum and energy methods (Angular\/linear Impulse-Momentum theorem, Work-Energy-Theorem, Conservation of momentum and energy, impact problems, mass flow problems)Electronics:Components: resistors and sources: Ohms lawInterconnections: Kirchhoff\u2019s LawsEquivalence. Circuit analysis: systematic, leading to nodal equations; Superposition.Voltage-controlled current sourcesNonlinear components; load-line analysisOperational amplifiers; large-signal and linear operation.Common circuits employing opamps: A-D converters, Schmitt Triggers, D-A converters, integratorsAlternating current behaviour; phasor diagramsComplex currents and voltagesAC properties of capacitors and inductors. AC circuit analysisSimilarity between DC and AC circuit analysis; examplesFrequency domain behaviour: asymptotesThe analysis of change: an example using Zener diode circuitWaves and vibrations:Free oscillations RLC first order response.Simple and damped harmonic motion: SHM of mechanical and electrical oscillators; damped oscillation, light, critical and heavy dampingForced oscillations Steady-state, variation of displacement and velocity with the frequency of the driving force; resonance, transientsTransverse wave motion Travelling waves; characteristic impedance and phase velocity; reflection and transmission at boundaries; dispersionWaves on transmission lines Circuit model, phase velocity, impedance, dispersion, reflection at mismatches ",N/A,"Martin Holloway, Amanda Foust, Firat Guder, David Labonte"
Medical and Biochemical Science 1,BIOE40007,"Autumn,Spring","The aims of this module are to:Introduce the underlying molecular basis of cellular and sub-cellular processes in cells, with special emphasis for engineers.Introduce students to some of the physiological concepts and systems that are important application areas for technology in the field of bioengineering.Develop the practical laboratory skills to use the technologies introduced in the lectures.","Upon successful completion of this module, you will be able to:&nbsp;Identify important features of molecules from drawn structuresDescribe the forces responsible for molecular and cellular structure and energy provision within cells and relate the properties of cells to molecular eventsExplain regulation, at the DNA, RNA and protein level.Describe the principles of modern molecular biology techniquesDescribe the basic anatomy and physiological control processes relevant to the human cardiovascular and respiratory systemsUse appropriate technologies to measure relevant indicators of physiological performance and discuss the general application of technology in the field of bioengineering with specific relevance to medical applicationsSelect and apply appropriate techniques in a wet-lab setting to investigate a problem or conduct an experiment in a safe and effective mannerDistinguish valid measurements from mistakes, and explain error estimation and be able to make accurate measurements"," This module will cover the following topics:Molecules and forces: Interpreting shape from simple stick structures of molecules, chirality and molecular shape, magnitude and length scales of different types of forces acting on biomoleculesShape in 2D: Lipids, force based explanation of surface monolayer formation, lipid bilayers, mosaic model of cell membranes, membrane permeability.Shape in 3D: Protein formation from amino acids, peptide bond rigidity, primary, secondary, and tertiary protein structures, and intermolecular forces that stabilise themEnergy use and provision within cells: Processes that consume energy, primary energy sources, secondary energy carriers - NADH, ATP, ion gradients. Outline of glucose metabolism - glycolysis, TCA cycle, oxidative phosphorylation. Examples of electron transport chain in mitochondria, production of proton gradient in mitochondria, generation of ATP via molecular machine ATP synthaseCells: Identification of cellular components including overview of: function of cell membranes, function of membrane transporters and proteins, function of different cellular organelles, and function of metabolism and transport in cells.Molecular Biology: Structure of nucleic acids, DNA and chromosomes, basic information content of DNA, DNA replication and mitosis, gene organisation and transcription, protein translation and post translational modification.Biotechnology: Description of techniques used to study DNA, RNA and genes, new technology applied in the field of genomics, dedicated seminars for course work in the second year.The respiratory system: structure and function of the airways, ventilation and lung mechanics, alveolar structure, gas transport, control of breathing.&nbsp;The Cardiovascular System: overview of the system, heart anatomy, mechanics of the cardiac cycle, cardiac electrophysiology, the ECG, control of cardiac output, the large arteries, introduction to haemodynamics, roles of arterioles, control of arterioles, water and solute exchange in the microcirculation, return of substances to the heart in lymph and veins, integrated control of the cardiovascular system.&nbsp;The nature of physiological control systems will be emphasized throughout. The course is linked to two practicals where students will assess their breathing patterns and ECG ",N/A,"Jun Ishihara, Martyn Boutelle, Adam Celiz, Peter Weinberg"
Medical and Biochemical Science 2,BIOE50007,"Autumn,Spring","In this module, you will build on your knowledge from the Medical and Biochemical Science 1 module, and be introduced to new cellular and physiological concepts.The module aims to introduce you to further physiological systems with a strong emphasis on the nervous system and to introduce you to regulators and modulators of gene expression, i.e. genetics and epigenetics, with a specific focus on methylation.The module will also allow you to build competence with new wet lab skills and allow you to gain familiarity with a range of lab techniques that may be required in final year projects.","Upon successful completion of this module, you will be able to:Discuss and explain the complexity of biological control systems and the physiological and structural constraints under which they operateDistinguish between general principles and specific adaptations in biological control systemsRelate anatomical structures and physiological mechanisms to the functional organisation of biological systemsDiscuss and explain the design constraints of biological systemsRecognise the role of the environment in mediating epigenetic changesDistinguish between epigenetic modifications which can alter gene expressionAnalyse and interpret different forms of sequencing dataShow proficiency in a range of wet labs techniques"," In this module you will cover the following topics:Medical Science:Human Nervous System, Musculoskeletal System, Endocrine System, Gastrointestinal System, Human Reproductive System and &nbsp;Renal System&nbsp;Molecules, cells and processes:Cell building blocks\/DNA packingTranscription. Primer design to assess transcriptionPromotors, enhancers, transcription factor bindingEpigenetic mechanisms-chromatin\/histone marksEpigenetic mechanisms-Methylation. X inactivationBisulfite sequencingGenomic imprintingEpigenetic clock-agingEpigenetic drugsArduino Project ",Medical and Biochemical Science 1 - Prerequisite,"Claire Higgins, Holger Krapp, Julien Vermot"
Medical and Biological Science 1 ,BIOE40010,"Autumn,Spring","The aims of this module are to:Introduce the underlying molecular basis of cellular and sub-cellular processes in cells, with special emphasis for engineers. It will discuss these parts of the underlying theory that enables an engineer to interpret literature and models of cells better.Building on the cell-level understanding introduces you to some of the physiological concepts and systems that are important application areas for technology in the field of bioengineering.","Upon successful completion of this module you will be able to:Identify important features of molecules from drawn structuresDescribe the forces responsible for molecular and cellular structure and energy provision within cells and relate the properties of cells to molecular eventsExplain regulation, at the DNA, RNA and protein level.Describe the principles of modern molecular biology techniquesDescribe the basic anatomy and physiological control processes relevant to the human cardiovascular and respiratory systemsUse appropriate technologies to measure relevant indicators of physiological performance and discuss the general application of technology in the field of bioengineering with specific relevance to medical applications"," This module will cover the following topicsMolecules and forces: Interpreting shape from simple stick structures of molecules, chirality and molecular shape, magnitude and length scales of different types of forces acting on biomoleculesShape in 2D: Lipids, force based explanation of surface monolayer formation, lipid bilayers, mosaic model of cell membranes, membrane permeability.Shape in 3D: Protein formation from amino acids, peptide bond rigidity, primary, secondary, tertiary protein structures, and intermolecular forces that stabilise them.Energy use and provision within cells: Processes that consume energy, primary energy sources, secondary energy carriers - NADH, ATP, ion gradients.Outline of glucose metabolism - glycolysis, TCA cycle, oxidative phosphorylation.&nbsp;Example of electron transport chain in mitochondria, production of proton gradient in mitochondria, generation of ATP via molecular machine ATP synthaseCells: Identification of cellular components including an overview of: function of cell membranes, function of membrane transporters and proteins, function of different cellular organelles, and function of metabolism and transport in cells.Molecular Biology: Structure of nucleic acids, DNA and chromosomes, basic information content of DNA, DNA replication and mitosis, gene organisation and transcription, protein translation and post-translational modification.Biotechnology: Description of techniques unused to study DNA, RNA and genes, new technology applied in the field of genomics, dedicated seminars for course work in the second year.The respiratory system: structure and function of the airways, ventilation and lung mechanics, alveolar structure, gas transport, control of breathing.&nbsp;The Cardiovascular System: overview of the system, heart anatomy, mechanics of the cardiac cycle, cardiac electrophysiology, the ECG, control of cardiac output, the large arteries, introduction to haemodynamics, roles of arterioles, control of arterioles, water and solute exchange in the microcirculation, return of substances to the heart in lymph and veins, integrated control of the cardiovascular system.&nbsp;The nature of physiological control systems will be emphasized throughout. The course is linked to two practicals where students will assess their breathing patterns and ECG ",N/A,"Rodrigo Ledesma, Adam Celiz, Jun Ishihara, Peter Weinberg"
Medical Device Certification,BIOE70028,Autumn,"This module aims to introduce you to key information and allow you to develop skills needed by professional engineers in the development of medical systems and devices; specifically in the preparation of a project for CE certification (or regulatory approval in the appropriate environment).Its major components are:The regulatory framework, environment and proceduresProduct Development for medical devicesSafety, hazards and safe working practices","Upon successful completion of this module, you will be able to:Prepare complex project plans and device documentationSpecify the safe working practices when using hazardous materials and energyCritically select the relevant regulations covering hazardous materials and energy that apply to a projectConduct an in-depth product risk analysisSpecify the steps to develop a medical device within the framework of the regulationsApply the regulatory and developmental framework required by Statutory BodiesUse brainstorming techniques to identify hazardsEvaluate and rank risks and implement a risk management system &nbsp;&nbsp;&nbsp;"," Safety - Hazards and safe working practices when dealing with chemicals (CoSHH), electrical powerProduct Development&nbsp;Design steps, capturing user requirements, ergonomics. verification and validationProject Planning and Risk ManagementQuality systems for design and manufacturing. Risk Management. Traceability and surveillanceMedical Device Regulations Europe. Device Classification, Technical File, Annex 1 requirements, Notified body and Competent authority, Audit and the application process,.CE markingIntellectual property considerations ",N/A,N/A
Medical Device Design and Entrepreneurship Research Project,BIOE70041,"Autumn,Spring,Summer",This module is the main research component of the MRes in Medical Device Design and Entrepreneurship Programme. You will conduct a multi-term research project developing a medical device concept under the supervision of academics at Imperial College. You will gain practical experience developing and deploying bioengineering and business tools and principles in the development of a medical device concept and the associated business plan needed to bring your concept to market.,"Upon successful completion of this module you will be able to:Apply theoretical knowledge to practical situations with due consideration of the limitations of theoretical modelsFormulate an engineering-based development path for a medical device using your knowledge of core and specialised business and engineering concepts.Critically select appropriate laboratory instrumentation and\/or methods, workshop equipment or computational tools and show you can you these correctly and safely.Communicate the progress and outcomes of project work effectively and accurately, using technical and financial\/business information where relevant both orally and in written form.Plan and manage work over several months, meeting deadlines and working within other externally defined constraints.Critically evaluate your project outcome and take personal responsibility for the quality of your work.", Your research project is an important part of the programme. Projects give you an opportunity to build on the knowledge and skills you have developed in your taught modules and apply this to current problems in the field of Bioengineering.&nbsp;The technical content of this module will be dependent on your project choice and may be linked to a taught module or more closely linked to the research of an academic member of staff. Depending on your project choice you may recieve some lab based training under the direction of a research group. ,N/A,"Danny O'Hare, Daniel Green"
Medical Device Entrepreneurship,"BIOE70014,BIOE70014_t",Autumn,The aim is to introduce fundamental aspects of medical device entrepreneurship along with case studies to show how they are integrated to produce a successful business.&nbsp; Emphasis will be on the steps necessary for an idea to meet a medical need to become an approved and marketed medical device.&nbsp; &nbsp;,"By the end of this module you will be able to:Record, explain and report on examples of medical device development.Analyse, compare and contrast case studies of medical devices and business development.Evaluate and apply business aspects of a medical device start-up.Compose written expressions of the challenges of developing a business as they apply to medical device development.Communicate your understanding to both business and engineering audiences using brief written reports."," Making a business case for a new healthcare product requires strategies for intellectual property protection, regulatory approval, reimbursement and funding.&nbsp; The foundations for these pillars will be supported with content on investment dynamics, healthcare economics, and regulatory systems.&nbsp; Additional topics include Human Centred Design, creating a business plan, clinical trial design, incubators and negotiations.&nbsp; ",N/A,Jimmy Moore
Medical Device Entrepreneurship 1,BIOE50013,Autumn,The aim is to introduce fundamental aspects of medical device entrepreneurship along with case studies to show how they are integrated to produce a successful business.&nbsp; Emphasis will be on the steps necessary for an idea to meet a medical need to become an approved and marketed medical device.&nbsp; &nbsp;,"By the end of this module you will be able to:Describe and explain examples of medical device development.&nbsp;Analyse, compare and contrast case studies of medical device and business development.&nbsp;Compose written expressions that describe the pathways to developing a medical technology business&nbsp;Communicate your understanding to business audiences using brief written reports"," Making a business case for a new healthcare product requires strategies for intellectual property protection, regulatory approval, reimbursement and funding.&nbsp; The foundations for these pillars will be supported with content on investment dynamics, healthcare economics, and regulatory systems.&nbsp; Additional topics include Human Centred Design, creating a business plan, clinical trial design, incubators and negotiations.&nbsp; ",N/A,"Daniel Green, Jimmy Moore"
Medical Science 2,BIOE50008,Autumn,"This module builds on the Medical and Biological Science 1 module. It introduces further physiological concepts and systems including the Nervous system, Musculoskeletal system, Endocrine system, Gastrointestinal system, Reproductive system and Renal system. You will learn about the control processes in these systems with a strong emphasis on the role of control, and operational and design constraints in the nervous system.","Upon successful completion of this module, you will be able to:Discuss and explain the complexity of biological control systems and to understand the physiological as well as structural constraints under which they operate.Distinguish between general principles and specific adaptations in biological control systems.Relate anatomical structures and physiological mechanisms to the functional organization of biological systems.Discuss and explain the design constraints of biological systems.Analyse complex systems by identifying their function and their operational constraints."," Human Nervous System:Anatomy and functional organisation, foundations of bioelectric signals, signal transmission propagation and integration, sensory systems, postural reflexes, voluntary movements, premotor\/motor cortex, oculomotor systems, conceptual models of motor control.Musculoskeletal System:Bones, macro and microscopic structure, development, joints, skeletal muscles, physiology of muscle contraction, neuromuscular junction, blood\/energy supply, muscular training; comparative physiology and function of cardiac, smooth and skeletal muscles.Endocrine System:Anatomy, functional organisation, and control of major hormones, hormone activation of target cells.Gastrointestinal System:Anatomy, physiology, and function, of the digestive tract including upper segments, stomach, small and large intestines as well as associated organs.Human Reproductive System:Anatomy, development, cellular organisation and control of male\/female reproductive organs, oogenesis, spermatogenesis, fertilisation.Renal System:Anatomy, cellular organisation and physiology of kidney function, filtration, re-absorptive, and excretion mechanisms, hormonal and neuronal control of the renal function.. ",Medical and Biological Science 1  - Prerequisite,Julien Vermot
MEng Individual project,BIOE70004,"Spring,Autumn","In this module, you will have the opportunity to use the knowledge and skills you have developed across modules from your entire degree to tackle a research problem proposed by a member of staff. This is a year-long module in which you are expected to work to tackle an unfamiliar research problem that reflects current unanswered questions and challenges from one of the areas of Bioengineering. In this module, you will gain an understanding of the research environment and demonstrate the ability to carry out work independently.","At the end of this module you will be able to:Appraise the scientific and engineering literature and relate this to a Bioengineering research questionPlan, implement and revise a structured project plan to reach a defined research goalDemonstrate organisational and time management skillsEvaluate the effectiveness of a proposed solution to a research questionDemonstrate advanced skills in lab work, design, computational modelling, and programming, as required for your projectProduce journal-style written reports and oral presentations to succinctly communicate your results to both peers and non-experts&nbsp;Engage in open-ended and multi-disciplinary investigation"," This is a project-based module with no taught content but with the aims:to apply the knowledge learned in the rest of the course to current research problemsto develop important project management, teamwork, organisation, and communication skills that are highly valued by employers ",N/A,Huai-Ti Lin
MEng Individual project,BIOE70057,"Spring,Autumn","In this module, you will have the opportunity to use the knowledge and skills you have developed across modules from your entire degree to tackle a research problem proposed by a member of staff. This is a year-long module in which you are expected to work to tackle an unfamiliar research problem that reflects current unanswered questions and challenges from one of the areas of Bioengineering. In this module, you will gain an understanding of the research environment and demonstrate the ability to carry out work independently.","At the end of this module you will be able to:Appraise the scientific and engineering literature and relate this to a Bioengineering research questionPlan, implement and revise a structured project plan to reach a defined research goalDemonstrate organisational and time management skillsEvaluate the effectiveness of a proposed solution to a research questionDemonstrate advanced skills in lab work, design, computational modelling, and programming, as required for your projectProduce journal-style written reports and oral presentations to succinctly communicate your results to both peers and non-experts&nbsp;Engage in open-ended and multi-disciplinary investigation"," This is a project-based module with no taught content but with the aims:to apply the knowledge learned in the rest of the course to current research problemsto develop important project management, teamwork, organisation, and communication skills that are highly valued by employers ",N/A,Huai-Ti Lin
Modelling in Biology,BIOE60024,"Autumn,Spring","The aim is to provide you with an applied introduction to mathematical and computational modelling techniques in Bioeningeering. The course introduces the basic tools of Deterministic Nonlinear Dynamics, Stochastic Processes, and the Theory of Networks, and shows you how to apply them in biologically-motivated contexts. This module has a strong practical focus allowing you to test out your understanding of the theory of these topics by developing your own models using Matlab or equivalent software.","Upon successful completion of this module, you will be able to:Describe real-world dynamical problems in the language of mathematical models. Classify and identify approaches to analyse those models, including the use of scientific programming tools such as Matlab.Compute fixed points for deterministic, continuous models described by ordinary differential equations (ODEs), and analyse those fixed points by linearisation.Sketch and analyse phase planes for ODE-based dynamical systems.Analyse how the nature of fixed points and attractors (including limit cycles) change as a function of changes in underlying parameters, and discuss this change in the language of bifurcation.Calculate the dynamical &nbsp;trajectories and stationary distribution of: discrete-state, discrete-time; discrete-state continuous-time; and continuous-state, continuous-time processes through analytical methods and simulation.Analyse the properties of stochastic trajectories and stationary distributions.Describe complex systems in the language of networks, and perform simple analysis of network topology.Interpret the results of mathematical analysis of these models in terms of the behaviour of the real world systems."," Introduction and background: linear vs. nonlinear. Phase plane analysis. Stochastic and deterministic modelsOne-dimensional systems: fixed point analysis; global and local stability; bifurcationsTwo-dimensional systems: oscillations and limit cycles. Hopf bifurcation and Poincare-Bendixson theoremThree-dimensional systems: chaos and quasi-periodicity (very briefly)Randomness in biological systems (analysing stationary states in and out of thermodynamic equilibrium in biology)Introduction to Markov processes and stochastic dynamics (master equation, Fokker-Planck equation, stochastic differential equations - meaning and simple approaches to solution and simulation)Stochastic dynamics in biological systems (applying the above techniques to biological examples)Introduction to networks (basic metrics, null models). Emergent properties, the influence of networks on dynamics and the identification of motifsExamples throughout the course drawn from: Ecology, Physiology, Neuroscience, Biochemistry &amp; GeneticsProblem sheets and MATLAB exercises are provided to illustrate and deepen the introduced concepts ","A clear understanding of the mathematical concepts in Signals, Systems and Control will also help in deeply understanding this course and making connections with the concepts introduced therein. Calculus: differentiation, ordinary differential equations, partial differential equations, complex numbers, Taylor series expansion Linear algebra: matrix multiplication, eigenvalues and eigenvectors Probability: basic rules of probability, mean, variance, correlation, normal distribution, binomial distribution, calculating expectations using a distribution.",Thomas Ouldridge
"Molecular, Cell and Tissue Biomechanics",BIOE70017,Spring,"In this module you will be introduced to the application of engineering principles and approaches towards the study of biomechanical behaviour, bridging between the molecular, cellular, and tissue level scales. You will use apply the principles of solid and fluid mechanics that you learnt in 1st and 2nd year modules to analyse and understand processes and structures across a range of length scales.","Upon successful completion of this module, you will be able to:Apply a variety of mathematical tools in biomechanical analysisDescribe the concepts and techniques used in biomechanics researchDescribe the basic structure of molecules, cells and tissuesFormulate biomechanical models of molecules, cells and tissues in terms of their structureCritically analyse predictions of biomechanical models and weigh the advantages and disadvantages of different modelsEvaluate the utility of biomechanical models to understand cell and tissue structure, function and physiologyUse Matlab to perform a mathematical analysis of experimental dataDemonstrate an intuition for energy balances and scaling approximations that is useful across a wide range of engineering fields", Topics Covered are:Structure-function relationships for cells and tissuesMechanics of cellsMechanics of moleculesMechanics of tissues ,Fluid and Solid Mechanics 2 - PrerequisiteBiomechanics - Prerequisite,"Julien Vermot, Darryl Overby"
Molecules and Energetics 1,BIOE40008,"Spring,Autumn","This module aims to provide students with a fundamental understanding of the chemistry and materials science principles related to Bioengineering including:The main functional groups in organic molecules, their roles in building more complex structures and functionalising surfaces.&nbsp;The main techniques for identifying and characterising engineered moleculesThe foundations of classical thermodynamics and applications in biomedical engineering and molecular sciencesChemical kinetics, Fick's laws and steady state diffusionThis module also aims to build the wet lab skills of students including:Preparing a range of biomaterials and practice with the main techniques used for classifying such materials","Upon successful completion of this module, you will be able to:Describe the formal framework of classical thermodynamics, the laws of thermodynamics and Fick's laws of diffusionFormulate and solve thermodynamic equations exploiting calculus including partial and total differentials and their properties.Explain how thermodynamic and chemical kinetics concepts can be applied to problems in biomedical engineeringUse fundamental concepts of chemical kinetics to derive simple rate laws and relate these to experimental data.Recognise and name the main functional groups and predict their reactivityDescribe simple reaction mechanisms (breaking and forming covalent bonds) and propose strategies to build complex macromoleculesExplain the theory behind some of the main techniques for characterising molecules, demonstrate the application of the techniques in a safe and effective manner and interpret analytical dataDistinguish valid measurements from mistakes, explain error estimation and be able to make accurate measurements &nbsp;&nbsp;"," This module will cover the following topics:ThermodynamicsIncorporating:Energy, heat, and work, their units and sign conventions and including examples of the role of thermodynamics in biomedical engineering.The laws of thermodynamics, and the energy laws.Heat capacity, Enthalpy and Entropy.Free energy equations, Pressure\/temperature dependence and chemical potential.Molecular Forces and MotionIncorporating:Different types of solutions and intermolecular forces.Gas solubility laws, Empirical rate laws and experimental approaches to their determination.Kinetics and Diffusion.MaterialsIncorporating:Organic molecules and functional groups.Macromolecules \/ biomaterials.Hydrogels.Spectroscopy. ","Newton's Laws of MotionUnderstanding of energy and work, force, and pressureDescriptive physical chemistry: the mole concept, ideal gas equation, balancing chemical equations, quantification and manipulation of chemical concentration and its unitsSI unitsUnits conversionsLinear algebraDifferential and integral calculus","Sylvain Ladame, Danny O'Hare"
